user_id,channel,registered_at,active_days,retain_day1,retain_day7,retain_day14
U00001,搜索引擎,2025-11-01 03:47:01,8,0,0,0
U00002,合作推广,2025-11-01 05:19:49,10,0,0,0
U00003,付费广告,2025-11-01 15:45:49,17,0,1,0
U00004,社交网络,2025-11-01 20:05:22,28,0,1,0
U00005,自然流量,2025-11-02 00:56:22,26,1,1,0
U00006,自然流量,2025-11-02 06:14:54,9,1,0,0
U00007,自然流量,2025-11-02 09:02:53,22,0,0,0
U00008,付费广告,2025-11-03 03:40:53,19,1,1,0
U00009,社交网络,2025-11-03 06:57:19,29,0,1,1
U00010,付费广告,2025-11-03 12:34:22,14,1,0,0
U00011,自然流量,2025-11-03 19:01:24,8,1,0,0
U00012,合作推广,2025-11-04 00:54:59,9,0,0,0
U00013,付费广告,2025-11-04 14:49:34,22,1,0,1
U00014,自然流量,2025-11-04 18:07:41,11,0,0,1
U00015,自然流量,2025-11-04 22:36:54,23,1,1,1
U00016,自然流量,2025-11-05 11:00:39,1,1,1,1
U00017,搜索引擎,2025-11-05 18:19:18,14,0,1,0
U00018,社交网络,2025-11-05 21:55:35,5,1,1,1
U00019,搜索引擎,2025-11-06 11:52:20,21,0,1,1
U00020,搜索引擎,2025-11-06 17:33:11,26,0,1,0
U00021,社交网络,2025-11-07 16:43:07,14,1,0,1
U00022,自然流量,2025-11-08 12:39:55,4,0,0,0
U00023,搜索引擎,2025-11-08 13:32:11,22,1,0,0
U00024,搜索引擎,2025-11-08 14:03:03,23,1,0,0
U00025,搜索引擎,2025-11-08 21:57:19,25,1,0,0
U00026,付费广告,2025-11-09 04:03:12,1,0,0,1
U00027,自然流量,2025-11-10 04:34:06,22,1,1,0
U00028,社交网络,2025-11-10 11:39:40,23,1,1,0
U00029,社交网络,2025-11-10 15:01:32,19,1,0,0
U00030,自然流量,2025-11-10 17:07:01,8,1,0,1
U00031,社交网络,2025-11-10 23:20:24,15,1,0,0
U00032,自然流量,2025-11-11 07:19:59,21,1,0,0
U00033,自然流量,2025-11-11 11:20:43,15,1,1,1
U00034,合作推广,2025-11-11 12:36:33,9,1,1,1
U00035,合作推广,2025-11-11 17:15:20,21,1,1,0
U00036,付费广告,2025-11-12 03:30:12,9,1,1,1
U00037,搜索引擎,2025-11-12 06:31:51,10,1,1,1
U00038,自然流量,2025-11-12 13:43:48,20,0,1,1
U00039,付费广告,2025-11-13 01:13:13,25,0,1,0
U00040,搜索引擎,2025-11-13 04:47:23,21,1,0,0
U00041,自然流量,2025-11-13 08:14:09,26,0,0,0
U00042,社交网络,2025-11-13 11:11:45,9,1,1,0
U00043,自然流量,2025-11-13 16:13:31,3,0,0,0
U00044,合作推广,2025-11-14 23:48:23,20,0,1,0
U00045,搜索引擎,2025-11-15 20:34:58,25,1,0,0
U00046,社交网络,2025-11-16 00:56:22,26,1,0,0
U00047,搜索引擎,2025-11-16 10:25:08,11,0,0,0
U00048,社交网络,2025-11-16 11:50:49,6,1,0,1
U00049,社交网络,2025-11-16 15:13:58,2,1,1,0
U00050,自然流量,2025-11-16 22:47:31,7,0,1,0
U00051,合作推广,2025-11-17 05:52:23,18,1,0,1
U00052,付费广告,2025-11-17 20:59:14,27,1,1,0
U00053,合作推广,2025-11-18 02:55:06,2,0,1,1
U00054,合作推广,2025-11-18 05:42:44,27,1,0,1
U00055,社交网络,2025-11-18 16:14:13,17,0,0,0
U00056,合作推广,2025-11-18 19:06:51,11,1,1,1
U00057,自然流量,2025-11-18 22:44:35,27,1,0,0
U00058,自然流量,2025-11-19 07:09:23,12,0,1,0
U00059,自然流量,2025-11-20 11:21:37,27,1,1,0
U00060,搜索引擎,2025-11-20 12:04:09,19,1,0,0
U00061,搜索引擎,2025-11-20 12:41:12,22,0,0,1
U00062,搜索引擎,2025-11-20 15:31:02,24,1,0,0
U00063,付费广告,2025-11-20 17:28:48,25,1,1,0
U00064,搜索引擎,2025-11-20 22:51:56,7,1,1,0
U00065,搜索引擎,2025-11-21 05:28:22,20,1,0,0
U00066,社交网络,2025-11-21 19:40:22,6,0,0,0
U00067,自然流量,2025-11-22 00:54:43,21,1,0,0
U00068,付费广告,2025-11-22 04:13:09,24,1,1,1
U00069,自然流量,2025-11-22 17:22:46,1,1,0,0
U00070,合作推广,2025-11-23 02:09:21,17,1,1,0
U00071,付费广告,2025-11-23 04:49:08,29,1,1,0
U00072,自然流量,2025-11-23 11:54:06,11,1,1,0
U00073,自然流量,2025-11-23 17:06:13,22,1,0,1
U00074,付费广告,2025-11-23 18:31:17,26,1,0,0
U00075,付费广告,2025-11-23 20:44:35,28,1,1,0
U00076,付费广告,2025-11-24 09:23:13,18,1,0,0
U00077,付费广告,2025-11-24 12:57:03,21,1,0,1
U00078,自然流量,2025-11-24 16:09:56,17,0,0,0
U00079,搜索引擎,2025-11-25 04:21:30,7,0,1,0
U00080,自然流量,2025-11-25 16:07:16,17,1,0,1
U00081,付费广告,2025-11-25 20:45:52,20,1,1,0
U00082,社交网络,2025-11-25 22:39:22,9,1,0,1
U00083,搜索引擎,2025-11-26 09:02:41,17,1,1,1
U00084,自然流量,2025-11-26 16:55:21,20,1,1,0
U00085,搜索引擎,2025-11-27 04:12:59,22,1,0,0
U00086,搜索引擎,2025-11-27 09:26:28,22,0,0,0
U00087,付费广告,2025-11-27 14:39:54,28,1,1,0
U00088,社交网络,2025-11-27 15:34:10,29,1,0,1
U00089,合作推广,2025-11-27 17:10:53,8,1,1,0
U00090,社交网络,2025-11-27 18:43:24,17,1,0,0
U00091,自然流量,2025-11-27 21:06:26,7,0,0,1
U00092,付费广告,2025-11-27 23:02:53,1,0,0,0
U00093,付费广告,2025-11-28 00:18:03,13,0,0,0
U00094,社交网络,2025-11-28 04:12:11,23,1,1,0
U00095,付费广告,2025-11-28 12:26:18,19,0,0,0
U00096,社交网络,2025-11-28 13:42:12,27,1,0,1
U00097,社交网络,2025-11-28 15:26:36,24,1,0,0
U00098,搜索引擎,2025-11-28 17:31:10,19,0,1,0
U00099,自然流量,2025-11-29 04:09:03,29,1,0,0
U00100,自然流量,2025-11-29 06:48:29,17,0,1,0
U00101,自然流量,2025-11-29 10:50:21,13,1,1,0
U00102,社交网络,2025-11-29 18:29:45,29,0,0,0
U00103,搜索引擎,2025-11-30 03:39:19,16,1,0,0
U00104,社交网络,2025-11-30 05:19:24,8,0,0,1
U00105,合作推广,2025-11-30 06:38:17,19,1,1,0
U00106,自然流量,2025-11-30 12:20:18,18,1,0,0
U00107,搜索引擎,2025-12-01 02:11:49,1,1,1,0
U00108,付费广告,2025-12-01 14:04:08,14,1,0,1
U00109,自然流量,2025-12-01 14:28:15,19,1,0,1
U00110,自然流量,2025-12-01 23:42:54,15,1,0,0
U00111,搜索引擎,2025-12-02 02:41:34,18,1,1,1
U00112,自然流量,2025-12-02 07:02:17,2,1,1,0
U00113,合作推广,2025-12-02 12:43:19,22,1,1,0
U00114,付费广告,2025-12-02 19:25:17,28,1,0,0
U00115,社交网络,2025-12-02 20:08:26,17,0,1,0
U00116,合作推广,2025-12-03 14:26:49,18,1,0,1
U00117,付费广告,2025-12-03 22:21:06,6,1,1,0
U00118,自然流量,2025-12-04 01:56:36,19,1,0,0
U00119,合作推广,2025-12-04 05:58:14,4,1,0,1
U00120,社交网络,2025-12-04 06:20:52,1,1,0,0
U00121,付费广告,2025-12-04 15:45:24,8,1,1,0
U00122,合作推广,2025-12-04 18:19:43,29,0,1,0
U00123,搜索引擎,2025-12-06 07:20:13,23,1,0,0
U00124,自然流量,2025-12-06 20:17:02,7,1,0,0
U00125,自然流量,2025-12-07 00:27:14,3,1,0,0
U00126,搜索引擎,2025-12-07 03:19:12,10,1,1,0
U00127,付费广告,2025-12-07 05:16:19,10,0,0,0
U00128,付费广告,2025-12-07 06:25:54,19,1,0,1
U00129,自然流量,2025-12-07 09:18:10,14,1,0,0
U00130,社交网络,2025-12-07 15:10:48,2,1,0,0
U00131,搜索引擎,2025-12-08 13:27:43,28,1,1,0
U00132,自然流量,2025-12-08 15:27:38,1,1,0,0
U00133,自然流量,2025-12-09 00:34:31,23,1,0,0
U00134,搜索引擎,2025-12-09 05:19:15,23,1,0,0
U00135,合作推广,2025-12-09 12:55:26,28,0,1,0
U00136,搜索引擎,2025-12-09 19:53:34,18,1,0,1
U00137,社交网络,2025-12-10 00:58:16,7,0,1,0
U00138,付费广告,2025-12-10 05:24:05,29,1,1,1
U00139,搜索引擎,2025-12-10 13:47:20,8,1,0,0
U00140,合作推广,2025-12-10 16:40:07,1,1,1,1
U00141,合作推广,2025-12-10 19:19:27,25,1,1,0
U00142,搜索引擎,2025-12-10 20:11:10,23,0,0,1
U00143,社交网络,2025-12-10 22:06:21,3,1,0,0
U00144,搜索引擎,2025-12-11 05:29:46,24,0,0,0
U00145,搜索引擎,2025-12-11 23:41:36,23,1,0,0
U00146,自然流量,2025-12-12 07:49:14,27,1,1,1
U00147,社交网络,2025-12-12 09:27:56,29,0,1,0
U00148,社交网络,2025-12-12 13:38:51,8,1,0,0
U00149,自然流量,2025-12-12 23:31:27,22,1,0,0
U00150,搜索引擎,2025-12-12 23:33:12,25,1,0,0
U00151,合作推广,2025-12-13 02:23:05,15,0,1,0
U00152,自然流量,2025-12-13 10:27:40,5,0,1,0
U00153,自然流量,2025-12-13 14:00:14,3,1,0,1
U00154,社交网络,2025-12-14 05:40:50,19,1,0,1
U00155,合作推广,2025-12-14 07:44:29,1,0,0,1
U00156,自然流量,2025-12-14 10:40:57,28,1,0,0
U00157,付费广告,2025-12-14 10:44:24,15,1,1,1
U00158,付费广告,2025-12-15 07:22:09,8,0,1,1
U00159,自然流量,2025-12-15 10:11:12,2,1,0,0
U00160,付费广告,2025-12-15 11:31:25,3,1,0,0
U00161,搜索引擎,2025-12-15 11:41:58,24,1,1,0
U00162,社交网络,2025-12-15 13:47:33,14,0,0,1
U00163,社交网络,2025-12-15 19:03:46,24,1,0,0
U00164,社交网络,2025-12-15 19:52:23,14,1,1,0
U00165,自然流量,2025-12-15 21:53:48,11,1,0,0
U00166,付费广告,2025-12-17 00:02:54,16,1,1,1
U00167,搜索引擎,2025-12-17 10:19:51,4,1,1,1
U00168,自然流量,2025-12-17 13:25:27,20,1,1,1
U00169,自然流量,2025-12-17 20:35:39,5,1,0,0
U00170,社交网络,2025-12-17 23:50:27,22,1,0,0
U00171,付费广告,2025-12-18 00:18:53,21,1,0,0
U00172,自然流量,2025-12-18 03:08:38,14,1,1,0
U00173,社交网络,2025-12-19 09:35:31,23,1,1,0
U00174,自然流量,2025-12-19 11:27:50,16,0,0,0
U00175,社交网络,2025-12-19 20:10:22,18,1,0,0
U00176,自然流量,2025-12-20 00:27:53,7,0,1,0
U00177,付费广告,2025-12-20 01:00:36,10,0,0,1
U00178,搜索引擎,2025-12-20 03:50:19,7,0,1,0
U00179,合作推广,2025-12-20 10:24:29,1,1,1,1
U00180,自然流量,2025-12-20 11:52:42,23,0,1,0
U00181,搜索引擎,2025-12-20 13:34:38,21,0,1,0
U00182,自然流量,2025-12-20 20:41:42,19,0,1,0
U00183,合作推广,2025-12-21 19:19:39,16,0,0,0
U00184,合作推广,2025-12-21 19:52:26,29,1,0,0
U00185,搜索引擎,2025-12-22 09:14:08,19,1,0,0
U00186,社交网络,2025-12-22 10:35:04,4,1,1,0
U00187,付费广告,2025-12-22 18:48:37,29,1,1,0
U00188,社交网络,2025-12-23 03:41:02,28,1,1,0
U00189,社交网络,2025-12-23 16:48:39,18,0,0,1
U00190,自然流量,2025-12-24 17:20:43,2,0,0,1
U00191,自然流量,2025-12-24 17:44:23,1,1,0,1
U00192,合作推广,2025-12-25 04:35:15,15,1,1,0
U00193,合作推广,2025-12-25 05:26:56,5,0,0,1
U00194,社交网络,2025-12-25 10:35:37,20,1,1,1
U00195,搜索引擎,2025-12-26 11:39:35,11,0,1,0
U00196,搜索引擎,2025-12-28 05:26:18,10,1,1,1
U00197,付费广告,2025-12-28 07:27:52,2,0,1,0
U00198,合作推广,2025-12-28 12:20:02,3,0,1,1
U00199,合作推广,2025-12-28 20:40:54,23,0,1,1
U00200,付费广告,2025-12-28 21:17:11,23,1,0,0
U00201,社交网络,2025-12-28 22:37:20,12,1,1,0
U00202,自然流量,2025-12-29 13:50:37,20,0,0,1
U00203,自然流量,2025-12-29 22:11:53,5,0,0,0
U00204,合作推广,2025-12-30 04:18:23,5,1,1,0
U00205,社交网络,2025-12-30 08:14:53,6,0,0,1
U00206,自然流量,2025-12-30 08:33:54,9,0,0,0
U00207,自然流量,2025-12-30 08:35:03,2,1,0,0
U00208,社交网络,2025-12-30 09:58:51,21,0,1,0
U00209,自然流量,2025-12-31 00:32:29,12,1,0,0
U00210,自然流量,2025-12-31 02:48:39,3,1,0,0
U00211,社交网络,2025-12-31 08:52:46,20,1,0,0
U00212,付费广告,2025-12-31 09:10:26,26,0,1,0
U00213,社交网络,2025-12-31 18:59:23,22,0,0,0
U00214,自然流量,2025-12-31 23:52:41,12,1,0,1
U00215,付费广告,2026-01-01 03:22:45,24,1,1,0
U00216,自然流量,2026-01-01 06:18:25,17,1,0,0
U00217,搜索引擎,2026-01-01 10:08:13,10,0,0,0
U00218,付费广告,2026-01-01 19:27:33,24,1,0,0
U00219,社交网络,2026-01-01 19:49:53,27,1,0,0
U00220,付费广告,2026-01-02 00:07:57,14,1,0,0
U00221,社交网络,2026-01-02 03:08:25,23,1,0,1
U00222,社交网络,2026-01-02 17:44:46,17,1,0,0
U00223,自然流量,2026-01-02 18:03:11,18,1,0,0
U00224,搜索引擎,2026-01-03 02:37:34,19,1,0,0
U00225,搜索引擎,2026-01-03 04:02:45,17,0,1,0
U00226,自然流量,2026-01-03 11:01:17,14,0,0,0
U00227,合作推广,2026-01-03 14:24:28,9,1,1,0
U00228,搜索引擎,2026-01-03 22:31:45,8,0,0,0
U00229,合作推广,2026-01-04 02:19:42,2,1,1,1
U00230,社交网络,2026-01-04 03:05:41,13,1,1,0
U00231,付费广告,2026-01-04 14:07:54,25,1,0,0
U00232,社交网络,2026-01-05 03:54:29,7,0,1,0
U00233,社交网络,2026-01-05 21:38:18,9,0,1,0
U00234,社交网络,2026-01-06 11:07:40,22,0,0,0
U00235,自然流量,2026-01-07 12:03:34,22,1,0,0
U00236,付费广告,2026-01-07 14:03:08,11,1,0,0
U00237,搜索引擎,2026-01-08 07:22:57,14,1,0,0
U00238,自然流量,2026-01-08 09:42:55,4,1,0,0
U00239,社交网络,2026-01-08 18:14:51,26,1,1,0
U00240,自然流量,2026-01-09 08:22:21,26,1,0,0
U00241,合作推广,2026-01-09 09:09:22,29,0,1,0
U00242,合作推广,2026-01-09 15:45:45,13,1,0,0
U00243,合作推广,2026-01-09 16:30:59,2,1,0,1
U00244,搜索引擎,2026-01-10 13:50:14,23,0,1,0
U00245,自然流量,2026-01-10 14:52:13,5,1,1,1
U00246,合作推广,2026-01-11 06:13:56,11,0,0,0
U00247,搜索引擎,2026-01-11 14:23:38,6,1,1,0
U00248,合作推广,2026-01-11 21:43:17,18,1,0,0
U00249,合作推广,2026-01-12 04:00:51,21,1,0,0
U00250,付费广告,2026-01-13 17:58:35,10,1,0,0
U00251,搜索引擎,2026-01-13 19:39:45,4,1,0,1
U00252,搜索引擎,2026-01-13 20:52:31,9,1,0,0
U00253,付费广告,2026-01-13 22:44:56,6,1,0,1
U00254,搜索引擎,2026-01-14 04:46:29,2,1,1,0
U00255,自然流量,2026-01-14 09:17:28,17,0,0,1
U00256,社交网络,2026-01-14 09:44:56,5,1,1,0
U00257,合作推广,2026-01-14 12:04:45,25,0,1,1
U00258,付费广告,2026-01-14 16:15:34,6,1,1,0
U00259,社交网络,2026-01-14 19:00:56,26,1,0,0
U00260,自然流量,2026-01-15 00:06:00,12,1,0,0
U00261,社交网络,2026-01-15 09:18:25,23,1,0,1
U00262,合作推广,2026-01-15 12:16:03,21,1,0,0
U00263,自然流量,2026-01-16 12:30:01,10,1,0,1
U00264,社交网络,2026-01-16 19:48:31,22,1,1,0
U00265,合作推广,2026-01-17 00:34:03,21,1,1,1
U00266,付费广告,2026-01-17 05:18:04,27,0,1,1
U00267,付费广告,2026-01-17 05:59:09,25,0,0,1
U00268,付费广告,2026-01-17 08:01:31,6,1,0,0
U00269,搜索引擎,2026-01-17 10:10:34,27,0,0,0
U00270,搜索引擎,2026-01-17 12:09:12,8,1,1,1
U00271,付费广告,2026-01-18 02:51:49,2,1,1,0
U00272,付费广告,2026-01-19 01:39:52,12,1,0,0
U00273,付费广告,2026-01-19 07:50:01,13,1,0,0
U00274,合作推广,2026-01-20 07:50:10,25,1,1,1
U00275,社交网络,2026-01-20 16:43:25,21,1,0,0
U00276,社交网络,2026-01-21 08:44:49,7,1,1,0
U00277,付费广告,2026-01-21 14:03:18,10,1,0,1
U00278,社交网络,2026-01-21 15:02:40,13,1,1,0
U00279,付费广告,2026-01-21 19:12:38,17,0,1,1
U00280,付费广告,2026-01-21 22:30:09,26,1,1,0
U00281,合作推广,2026-01-21 22:53:50,21,1,0,0
U00282,搜索引擎,2026-01-22 04:49:00,28,1,1,0
U00283,搜索引擎,2026-01-22 06:06:08,26,0,1,0
U00284,自然流量,2026-01-22 09:06:01,14,1,0,1
U00285,社交网络,2026-01-22 13:49:22,2,0,0,0
U00286,自然流量,2026-01-22 18:44:31,28,0,0,0
U00287,搜索引擎,2026-01-22 23:50:29,22,1,1,0
U00288,社交网络,2026-01-23 00:16:09,11,1,0,0
U00289,搜索引擎,2026-01-23 02:11:07,1,1,1,0
U00290,社交网络,2026-01-23 04:49:54,19,1,0,0
U00291,自然流量,2026-01-23 14:52:10,21,1,1,0
U00292,自然流量,2026-01-24 00:51:03,4,1,0,1
U00293,付费广告,2026-01-24 13:07:09,19,0,1,0
U00294,搜索引擎,2026-01-24 15:34:36,26,1,0,0
U00295,自然流量,2026-01-24 21:51:13,29,1,1,0
U00296,社交网络,2026-01-24 23:44:50,21,1,0,1
U00297,付费广告,2026-01-25 04:13:03,11,1,1,0
U00298,自然流量,2026-01-25 05:09:28,8,1,0,0
U00299,社交网络,2026-01-25 06:57:42,11,0,0,0
U00300,自然流量,2026-01-25 12:34:29,4,1,1,1
U00301,自然流量,2026-01-25 14:39:19,17,1,0,0
U00302,社交网络,2026-01-25 15:34:10,27,0,0,1
U00303,社交网络,2026-01-26 01:25:41,7,0,0,0
U00304,社交网络,2026-01-26 09:13:57,8,1,0,0
U00305,付费广告,2026-01-26 13:47:53,3,0,1,1
U00306,合作推广,2026-01-26 16:28:29,22,1,1,0
U00307,社交网络,2026-01-27 01:54:07,2,1,1,1
U00308,搜索引擎,2026-01-27 05:48:09,23,0,0,1
U00309,付费广告,2026-01-27 06:19:51,15,1,1,1
U00310,搜索引擎,2026-01-27 07:22:33,24,1,0,0
U00311,搜索引擎,2026-01-27 15:33:23,22,1,0,1
U00312,自然流量,2026-01-28 08:17:48,22,0,0,0
U00313,自然流量,2026-01-28 09:20:37,5,0,1,1
U00314,合作推广,2026-01-28 12:09:57,24,1,0,0
U00315,付费广告,2026-01-28 21:53:31,1,1,1,1
U00316,付费广告,2026-01-28 22:52:57,26,1,1,0
U00317,搜索引擎,2026-01-29 08:49:29,4,1,0,0
U00318,自然流量,2026-01-29 12:46:13,15,1,1,0
U00319,自然流量,2026-01-29 19:30:47,20,0,0,1
U00320,搜索引擎,2026-01-29 21:30:53,19,1,1,0
U00321,社交网络,2026-01-30 08:33:24,3,1,1,0
U00322,付费广告,2026-01-30 09:46:05,20,1,0,1
U00323,社交网络,2026-01-30 15:40:03,11,1,1,0
U00324,搜索引擎,2026-01-31 01:38:18,17,0,1,0
U00325,合作推广,2026-01-31 05:08:02,27,0,0,0
U00326,付费广告,2026-01-31 08:15:33,13,1,1,0
U00327,社交网络,2026-01-31 19:12:59,11,1,0,0
U00328,社交网络,2026-01-31 22:33:06,2,1,1,0
U00329,搜索引擎,2026-02-01 10:21:50,9,1,1,0
U00330,自然流量,2026-02-01 15:24:00,26,1,1,0
U00331,搜索引擎,2026-02-01 16:42:51,2,0,1,1
U00332,付费广告,2026-02-01 21:55:59,21,1,0,0
U00333,自然流量,2026-02-01 23:51:26,9,0,1,0
U00334,自然流量,2026-02-02 03:42:19,9,0,1,1
U00335,自然流量,2026-02-02 07:58:53,8,1,0,0
U00336,自然流量,2026-02-02 13:05:09,17,1,1,0
U00337,付费广告,2026-02-02 17:36:05,1,1,1,1
U00338,付费广告,2026-02-03 07:31:13,25,0,1,1
U00339,社交网络,2026-02-03 08:53:54,29,0,1,1
U00340,自然流量,2026-02-03 11:46:06,11,0,0,1
U00341,社交网络,2026-02-03 16:58:19,8,0,0,1
U00342,社交网络,2026-02-03 18:05:59,10,1,0,0
U00343,自然流量,2026-02-03 20:53:44,25,0,0,1
U00344,搜索引擎,2026-02-04 01:48:11,7,1,0,0
U00345,搜索引擎,2026-02-04 02:05:52,3,0,1,1
U00346,社交网络,2026-02-04 02:33:27,3,0,1,0
U00347,社交网络,2026-02-04 08:10:50,18,0,0,0
U00348,自然流量,2026-02-04 14:53:36,5,1,0,0
U00349,搜索引擎,2026-02-04 18:44:05,12,1,1,1
U00350,社交网络,2026-02-05 00:26:28,12,1,0,0
U00351,社交网络,2026-02-05 00:50:50,19,1,0,1
U00352,付费广告,2026-02-05 06:38:52,6,1,0,1
U00353,社交网络,2026-02-05 09:05:10,2,0,0,0
U00354,自然流量,2026-02-05 09:18:26,12,0,0,1
U00355,自然流量,2026-02-05 13:38:42,19,1,1,1
U00356,社交网络,2026-02-05 18:41:46,5,1,0,0
U00357,自然流量,2026-02-05 21:47:08,12,0,0,0
U00358,社交网络,2026-02-06 00:21:53,27,1,0,0
U00359,合作推广,2026-02-06 12:37:10,27,1,1,0
U00360,社交网络,2026-02-06 15:15:07,17,0,0,0
U00361,搜索引擎,2026-02-06 15:20:57,29,1,1,1
U00362,社交网络,2026-02-06 23:20:27,17,1,1,0
U00363,搜索引擎,2026-02-07 01:16:08,10,1,0,1
U00364,社交网络,2026-02-07 22:11:09,25,1,1,0
U00365,合作推广,2026-02-08 12:21:51,23,0,1,0
U00366,搜索引擎,2026-02-09 08:01:08,17,1,0,1
U00367,合作推广,2026-02-09 15:50:25,15,1,1,1
U00368,合作推广,2026-02-10 00:49:57,12,1,1,0
U00369,自然流量,2026-02-10 06:30:44,16,1,0,0
U00370,自然流量,2026-02-10 10:42:07,24,0,0,0
U00371,自然流量,2026-02-10 17:36:00,19,1,0,0
U00372,自然流量,2026-02-11 00:55:45,8,0,0,0
U00373,自然流量,2026-02-11 06:57:49,21,1,1,0
U00374,付费广告,2026-02-11 12:30:29,17,1,0,0
U00375,自然流量,2026-02-11 17:00:03,23,0,0,1
U00376,搜索引擎,2026-02-11 17:30:47,5,1,0,0
U00377,付费广告,2026-02-11 17:49:40,22,0,0,0
U00378,自然流量,2026-02-11 18:40:50,16,0,0,0
U00379,付费广告,2026-02-11 20:51:43,6,1,1,1
U00380,搜索引擎,2026-02-11 22:30:24,8,1,1,1
U00381,自然流量,2026-02-11 23:50:49,25,1,1,0
U00382,付费广告,2026-02-11 23:52:17,18,1,1,1
U00383,社交网络,2026-02-12 02:19:33,25,0,0,0
U00384,合作推广,2026-02-12 03:42:24,12,1,1,0
U00385,付费广告,2026-02-12 14:48:34,15,0,1,0
U00386,付费广告,2026-02-12 14:59:27,27,1,1,0
U00387,搜索引擎,2026-02-12 16:24:49,26,1,0,1
U00388,自然流量,2026-02-12 23:31:33,9,1,1,1
U00389,付费广告,2026-02-13 05:37:39,13,0,1,0
U00390,付费广告,2026-02-13 20:05:45,26,1,0,0
U00391,合作推广,2026-02-13 21:21:01,15,1,1,0
U00392,搜索引擎,2026-02-14 05:07:26,10,1,0,0
U00393,搜索引擎,2026-02-14 12:34:06,16,0,1,0
U00394,付费广告,2026-02-14 18:28:09,7,0,1,0
U00395,搜索引擎,2026-02-14 23:56:29,17,1,0,0
U00396,合作推广,2026-02-15 12:46:00,23,1,0,0
U00397,付费广告,2026-02-15 15:26:01,26,1,0,0
U00398,搜索引擎,2026-02-15 19:27:32,21,0,0,0
